1,373,751,478,143,11288
2,432,188,410,454,46560
3,416,657,415,390,4086
4,390,328,252,528,57615
5,187,628,183,662,338
6,232,614,148,122,7343
7,176,183,163,265,15540
8,163,221,274,476,41423
9,352,661,178,466,36949
10,197,483,321,637,56038
1,97,704,97,236,18251
2,97,236,483,230,25882
3,483,230,133,240,31506
4,133,240,214,255,17956
5,563,303,409,692,3619
6,409,692,514,467,5207
8,599,435,479,688,13037
9,479,688,112,242,27402
11,58,134,483,149,225
1,74,444,69,176,23916
2,69,176,76,328,47226
3,77,328,217,635,7755
4,200,582,94,360,40611
5,94,360,35,877,31135
8,138,608,351,228,13023
9,351,228,475,177,48234
10,475,177,338,237,61155
11,338,237,555,427,48667
12,556,427,597,346,55591
