1,557,270,511,673,141
2,483,642,189,720,86
3,227,682,238,206,18463
4,197,267,95,422,54
5,138,433,383,811,7744
6,345,775,185,784,49
7,233,761,407,407,12230
8,400,401,450,228,11725
9,351,289,126,596,17653
10,194,633,366,817,61
11,380,767,465,694,18
12,463,692,533,618,19
13,467,632,461,632,0
17,387,299,475,305,5860
18,431,327,362,515,13312
19,384,479,505,466,8227
20,448,439,428,404,2742
21,450,453,465,648,8641
22,467,648,479,749,13
23,466,684,465,683,0
24,510,701,548,680,8
25,531,654,615,338,81
26,572,349,309,196,7835
27,361,200,438,162,11
28,399,223,434,613,25234
29,453,557,497,525,7
30,454,476,443,447,2166
31,462,516,487,617,3412
32,510,598,541,609,4
33,497,619,474,713,17
34,527,664,543,656,1
35,520,629,561,333,71
36,528,340,307,181,8161
37,368,187,407,160,8
38,381,237,437,513,18495
39,471,502,527,539,2235
40,486,486,451,410,3034
41,464,452,467,550,6479
42,483,540,540,600,17
43,492,586,468,601,3
44,502,625,513,710,12
47,353,404,551,243,12469
48,493,294,466,73,35
49,494,136,499,140,0
50,471,148,476,453,9251
55,530,620,504,682,20
56,500,634,463,614,3
57,499,679,502,694,1
58,473,661,452,666,5
59,497,630,510,557,10
60,498,551,479,399,52
61,460,444,447,555,7627
62,457,555,500,740,697
63,537,667,574,611,16
64,519,615,508,612,1
65,525,668,518,700,5
66,510,640,442,582,15
67,498,618,515,617,2
